編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTLQHIGFCQ37CC,崙子頂段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10830030
RPRNMLTLQHIGFCQ57CC,崙子頂段,94.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00960015
RPPNMLKMQHIGFCQ56CC,福南段,.00,都市：住,,,,02130000
RPPNMLKLRHIGFCQ56CC,中樂段,227.00,都市：住,,,,06890019
RPPNMLSLRHIGFDQ47CC,太頂珠段,43.23,都市：住,,,,00240004
RPQNMLTLQHIGFCQ57DC,菁埔段中和小段,76.00,都市：農,,,,03640000
RPPNMLOLQHIGFCQ86CC,大潭段精忠小段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03240010
RPSNMLSLQHIGFCQ57CC,竹子腳段西昌小段,216.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01930000
RPPNMLKMQHIGFDQ66CC,和興段,.00,,,,,02640000
RPQNMLKMQHIGFDQ76CC,埔美段,111.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02880000
RPPNMLSLQHIGFDQ37CC,北興段,68.11,都市：住,,,,01030003
RPQNMLKLRHIGFDQ76CC,太頂珠段,91.94,都市：住,,,,00240004
RPPNMLLMQHIGFDQ76CC,柳林段,86.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06870000
RPRNMLNKIIIGFDQ88CC,和興段,54.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10530000
RPPNMLRKIIIGFCQ98CC,豐收段,94.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06740004
RPPNMLLJJIIGFCQ38CC,新庄段,78.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08410000
RPPNMLMJJIIGFEQ68CC,和平段,81.23,都市：住,,,,04420003
RPQNMLTJJIIGFDQ76CC,和溪段,78.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03760000
RPPNMLOJIIIGFBQ48CC,嘉朴段,40.20,都市：住,,,,01260000
