編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLPKJIIGFDT76DA,34,198.32,住家用,鋼筋混凝土造,78年6月24日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPRNMLQJJIIGFET86DA,28,15.97,共同部份,鋼筋混凝土造,84年7月10日,四層,,持分移轉
RPRNMLQJJIIGFET86DA,28,23.22,住家用,混凝土造,84年7月10日,四層,三層 陽台,全筆移轉
RPQNMLQJJIIGFET76DA,28,15.97,共同部份,鋼筋混凝土造,84年7月10日,四層,,持分移轉
RPQNMLQJJIIGFET76DA,28,23.22,住家用,鋼筋混凝土造,84年7月10日,四層,三層 陽台,全筆移轉
RPUNMLRJJIIGFAT86DA,30,89.14,集合住宅,鋼筋混凝土造,83年4月12日,十一層,十層 陽台,全筆移轉
RPUNMLRJJIIGFAT86DA,30,43.15,停車空間，受電室，水箱，避難室,鋼筋混凝土造,83年4月12日,十一層,,持分移轉
RPQNMLQKJIIGFET86DA,28,23.71,住家用,鋼筋混凝土造,84年11月16日,十二層,三層 陽台,全筆移轉
RPQNMLQKJIIGFET86DA,28,10.92,共同部份,鋼筋混凝土造,84年11月16日,十二層,,持分移轉
RPQNMLQKJIIGFAT56EA,31,282.79,住商用,鋼筋混凝土造,82年1月9日,四層,一層 二層 三層 四層 屋頂突出物 騎樓,全筆移轉
RPQNMLPLQHIGFET47DA,16,269.20,Ｈ２住宅,鋼筋混凝土構造,104年8月3日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLSKJIIGFAT56DA,40,74.30,集合住宅,鋼筋混凝土造,72年8月12日,五層,三層,全筆移轉
RPPNMLSKJIIGFAT56DA,40,13.84,屋頂突出物，樓梯，防空避難,鋼筋混凝土造,72年8月12日,五層,,持分移轉
RPRNMLRKJIIGFBT76DA,40,181.91,住家用,加強磚造,72年10月29日,二層,一層 二層 騎樓,全筆移轉
RPUNMLOKJIIGFCT86DA,,177.15,停車空間、住宅、樓梯間,鋼筋混凝土構造,112年8月4日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQOMLRKJIIGFCT86DA,17,116.13,住家用,見使用執照,96年2月9日,一層,一層 陽台,全筆移轉
RPRNMLQKJIIGFCT76DA,29,18.16,防空避難室、停車空間、梯間,鋼筋混凝土造,84年1月4日,十一層,,持分移轉
RPRNMLQKJIIGFCT76DA,29,83.00,住家用,鋼筋混凝土造,84年1月4日,十一層,九層 陽台,全筆移轉
RPPNMLLKJIIGFAT48DA,,51.48,,土磚石混合造,,一層,一層,持分移轉
RPOOMLNKJIIGFAT68DA,,72.16,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPPNMLSJJIIGFCT66DA,1,34.96,本共有部分之項目有停車空間、共同梯間、電信室及樓梯間等四項,鋼筋混凝土構造,112年3月2日,五層,,持分移轉
RPPNMLSJJIIGFCT66DA,1,91.80,集合住宅,鋼筋混凝土構造,112年3月2日,五層,四層 陽台,全筆移轉
RPOPMLMLJIIGFAT78DA,46,87.36,住家用,加強磚造,67年4月6日,二層,一層 二層,全筆移轉
