鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
麟洛鄉,房地(土地+建物)+車位,屏東縣麟洛鄉麟義段1397地號,45.57,住,,,1120811,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.16,2,2,1,有,無,8660000,83120,一樓平面,18.2,850000,,RPQNMLMKQHIGFAT66CB,新義城,G棟1號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,47.65,住,,,1120814,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.46,3,2,2,有,無,7600000,56946,一樓平面,0.0,0,,RPQNMLOKQHIGFAT86CB,森活家二期,B2棟1號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路,21.52,商,,,1120813,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.58,3,2,2,有,無,8550000,68949,一樓平面,21.43,1300000,,RPPNMLKLQHIGFAT09CB,白上白,A棟3號,
屏東市,房地(土地+建物),屏東縣屏東市歸仁路,26.13,住,,,1120812,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.64,2,2,2,有,無,5200000,75758,,0.0,0,,RPQNMLLLQHIGFAT66CB,小倆口8期,A3棟3號,
屏東市,房地(土地+建物),屏東縣屏東市歸仁路,33.55,住,,,1120815,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.11,3,2,2,有,無,6700000,76041,,0.0,0,,RPRNMLLLQHIGFAT76CB,小倆口8期,E3棟2號,
內埔鄉,房地(土地+建物),屏東縣內埔鄉光明路292巷,90.0,住,,,1120820,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,168.94,5,2,4,有,無,14200000,84054,,0.0,0,,RPPNMLMLQHIGFCT86CB,皇家欣天地3期 森鄰,A棟12號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,30.47,住,,,1120815,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.31,2,2,1,有,無,5600000,65643,一樓平面,0.0,0,,RPPNMLSLQHIGFAT27CB,森活家二期,B3棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口J2棟5樓,61.58,住,,,1120812,土地4建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,211.02,0,0,0,無,無,21000000,98246,坡道平面,16.61,1900000,,RPRNMLTLQHIGFAT57CB,甲山林花園帝寶,J棟2號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮新義段7-10地號B5/3F,20.95,住,,,1120826,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.04,2,2,2,有,無,7500000,73222,坡道平面,22.0,1200000,,RPPNMLTLQHIGFDT67CB,NEW CITY,B5棟3F號,
