編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTLQHIGFDT67CB,坡道平面,1200000,22.00,一樓
RPRNMLTLQHIGFAT57CB,坡道平面,1900000,16.61,地下一樓
RPPNMLSLQHIGFAT27CB,一樓平面,0,,一樓
RPPNMLLMQHIGFAT66CB,一樓平面,1350000,13.75,一樓
RPQNMLPJRHIGFAT96CB,一樓平面,0,7.11,一樓
RPPNMLKLQHIGFAT09CB,一樓平面,1300000,21.43,一樓
RPQNMLMKQHIGFAT66CB,一樓平面,850000,18.20,一樓
RPQNMLOKQHIGFAT86CB,一樓平面,0,,一樓
RPRNMLPJRHIGFAT07CB,一樓平面,1100000,13.74,一樓
RPSNMLQJRHIGFAT27CB,坡道平面,1300000,29.59,地下二樓
RPPNMLQJRHIGFCT17CB,升降機械,900000,5.51,一樓
RPTNMLQJRHIGFAT37CB,坡道平面,1300000,29.59,地下二樓
RPVNMLQJRHIGFAT57CB,一樓平面,1200000,12.66,一樓
RPPNMLRJRHIGFCT27CB,一樓平面,0,,一樓
RPXNMLQJRHIGFAT77CB,一樓平面,1200000,13.75,一樓
RPUNMLSJRHIGFCT97DB,一樓平面,800000,13.75,一樓
RPTNMLSJRHIGFCT87DB,一樓平面,800000,13.75,一樓
RPPNMLSJRHIGFAT27DB,一樓平面,0,,一樓
RPSNMLSJRHIGFCT77DB,一樓平面,800000,13.75,一樓
RPRNMLSJRHIGFAT47DB,一樓平面,0,,一樓
RPPNMLLKRHIGFCT86DB,一樓平面,0,14.82,一樓
RPQNMLTJRHIGFAT37CB,一樓平面,1200000,12.66,一樓
RPSNMLTJRHIGFAT57CB,一樓平面,1200000,13.78,一樓
RPTNMLMKRHIGFAT07CB,一樓平面,1480000,11.41,一樓
RPPNMLTJRHIGFAT27CB,一樓平面,1250000,13.78,一樓
RPPNMLRJRHIGFAT07CB,一樓平面,0,13.75,一樓
RPUNMLMKRHIGFAT17CB,一樓平面,0,13.75,一樓
RPTNMLRJRHIGFAT47CB,一樓平面,0,13.75,一樓
RPTNMLNKRHIGFAT17CB,一樓平面,0,,一樓
RPVNMLNKRHIGFAT37CB,一樓平面,0,,一樓
RPUNMLNKRHIGFAT27CB,一樓平面,0,,一樓
RPXNMLMKRHIGFAT47CB,一樓平面,0,7.25,一樓
RPWNMLNKRHIGFAT47CB,一樓平面,0,,一樓
RPPNMLOKRHIGFAT86CB,一樓平面,1300000,13.75,一樓
RPPNMLSKRHIGFCT57DB,一樓平面,0,14.82,一樓
RPRNMLQKRHIGFAT27CB,一樓平面,1300000,13.75,一樓
RPSNMLSKRHIGFAT57CB,坡道平面,1300000,21.43,地下一樓
RPPNMLMLRHIGFAT76CB,坡道平面,1400000,29.59,地下一樓
RPPNMLTKRHIGFAT37CB,一樓平面,1350000,13.75,一樓
RPPNMLTKRHIGFAT37CB,一樓平面,1350000,13.75,一樓
RPSNMLQKRHIGFAT37CB,其他,1300000,13.75,地下一樓
RPQNMLSKRHIGFAT37CB,一樓平面,0,,一樓
RPPNMLSKRHIGFAT27CB,一樓平面,0,,一樓
RPRNMLQLRHIGFAT37CB,一樓平面,1380000,11.41,一樓
RPQNMLQLRHIGFAT27CB,坡道平面,1400000,29.59,地下一樓
RPQNMLQLRHIGFAT27CB,坡道平面,1400000,29.59,地下一樓
RPTNMLQLRHIGFAT57CB,一樓平面,1400000,11.41,一樓
RPUNMLQLRHIGFAT67CB,一樓平面,1380000,11.41,一樓
RPVNMLQLRHIGFAT77CB,一樓平面,1400000,11.41,一樓
RPPNMLRLRHIGFAT27CB,一樓平面,1200000,13.75,一樓
RPPNMLQLRHIGFET57CB,一樓平面,0,13.75,一樓
RPPNMLLJIIIGFAT28CB,一樓平面,1380000,11.41,一樓
RPPNMLNJIIIGFAT48CB,坡道平面,2000000,16.61,地下一樓
RPPNMLNJIIIGFAT48CB,坡道平面,2000000,16.61,地下一樓
RPPNMLOJIIIGFAT58CB,一樓平面,0,,一樓
RPRNMLNJIIIGFAT68CB,坡道平面,2000000,16.61,地下一樓
