鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
屏東市,房地(土地+建物),屏東縣屏東市工業一路３號,3707.0,工,,,1120802,土地1建物1車位0,見其他登記事項,4,廠辦,廠房、辦公室、宿舍、員工宿舍、受電、守衛室,鋼筋混凝土造,0690726,1885.04,0,0,0,無,無,無,130000,69,,0.0,0,,RPPNMLLKQHIGFAT56CC,,,,,,
屏東市,建物,屏東縣屏東市民和二路４８之３號八樓,0.0,住,,,1120723,土地0建物1車位0,八層,8,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0960530,16.13,1,0,1,有,有,有,4000,248,,0.0,0,,RPPNMLOKQHIGFAT86CC,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市機場北路７８８號七樓,11.86,住,,,1120804,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0881204,82.12,2,1,1,有,有,有,11000,134,,0.0,0,屏東縣政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPQNMLOKQHIGFAT96CC,,,,,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮興隆路６３巷１７號三樓,39.65,住,,,1120810,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1110111,107.79,3,2,2,有,有,有,15000,139,,0.0,0,此為屏東縣政府社會住宅包租代管計畫。水電瓦斯費及每月管理費700元皆由承租人負擔。,RPPNMLOKQHIGFCT07CC,,,,,,
內埔鄉,房地(土地+建物),屏東縣內埔鄉安和巷１４號,31.68,,鄉村區,乙種建築用地,1120804,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840719,89.72,3,2,2,有,無,有,6000,67,,0.0,0,,RPQNMLOKQHIGFCT17CC,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市大武路３０７號三樓之三,11.78,住,,,1120717,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831006,79.97,2,1,1,有,有,有,12000,150,,0.0,0,,RPPNMLPKQHIGFAT96CC,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市廣東路４６５號,77.0,住,,,1120814,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0681022,200.71,4,0,3,有,無,無,28000,140,,0.0,0,,RPQNMLPKQHIGFAT07CC,,,,,,
東港鎮,建物,屏東縣東港鎮崁頂鄉港東村龍港路６８號,117.69,,一般農業區,農牧用地,1120725,土地0建物1車位0,一層,1,農舍,農舍,加強磚造,0850904,117.69,3,1,2,有,無,有,19900,,,0.0,0,1.承租方水、電使用，每月收費1500元，最高1500元為限。2.屋內物品以照片中所示附件，退租時原況返還。,RPPNMLPKQHIGFDT37DC,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市機場北路５２２號七樓,8.3,住,,,1120814,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0881204,59.25,2,1,1,有,有,有,8000,135,,0.0,0,此為屏東縣政府社會住宅包租代管計畫。水電瓦斯費由承租人負擔。,RPPNMLRKQHIGFAT17CC,,,,,,
