編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLRKQHIGFAT27CC,30,86.23,住家用,鋼筋混凝土造,82年3月8日,七層,,
RPPNMLOKQHIGFAT86CC,16,8.51,辦公室,鋼筋混凝土造,96年5月30日,八層,,
RPQNMLRKQHIGFAT27CC,30,28.84,共同部份,鋼筋混凝土造,82年3月8日,七層,,
RPPNMLOKQHIGFAT86CC,16,7.62,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,
RPQNMLOKQHIGFAT96CC,24,62.91,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPQNMLOKQHIGFAT96CC,24,19.21,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,
RPPNMLPKQHIGFAT96CC,29,79.97,住家用,鋼筋混凝土造,83年10月6日,七層,,
RPPNMLLKQHIGFAT56CC,43,1885.04,廠房、辦公室、宿舍、員工宿舍、受電、守衛室,鋼筋混凝土造,69年7月26日,四層,,
RPQNMLPKQHIGFAT07CC,44,200.71,住商用,鋼筋混凝土造,68年10月22日,四層,,
RPPNMLRKQHIGFAT17CC,24,45.81,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPPNMLRKQHIGFAT17CC,24,13.44,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,
RPQNMLOKQHIGFCT17CC,28,82.58,住家用,鋼筋混凝土造,84年7月19日,五層,,
RPQNMLOKQHIGFCT17CC,28,7.14,停車空間、水箱、梯間,鋼筋混凝土造,84年7月19日,五層,,
RPPNMLOKQHIGFCT07CC,2,78.56,集合住宅,鋼筋混凝土構造,111年1月11日,五層,,
RPPNMLOKQHIGFCT07CC,2,29.23,本共有部分之項目有停車空間及樓梯間等二項。,鋼筋混凝土構造,111年1月11日,五層,,
RPPNMLPKQHIGFDT37DC,27,117.69,農舍,加強磚造,85年9月4日,一層,,
RPRNMLRKQHIGFCT57CC,56,52.20,住宅,加強磚造,57年1月15日,三層,,
RPUNMLSKQHIGFAT97EC,1,63.73,集合住宅,鋼筋混凝土造,111年12月20日,十三層,,
RPUNMLSKQHIGFAT97EC,1,58.30,停車空間、防空避難室兼停車空間、管委會使用空間、梯間、梯廳、門廊、機車停車空間、車道停車空間、樓梯間,鋼筋混凝土造,111年12月20日,十三層,,
RPRNMLSKQHIGFAT47CC,38,103.15,住家用,鋼筋混凝土造,74年5月27日,三層,,
RPQNMLSKQHIGFAT37CC,30,116.27,住家用,鋼筋混凝土造,82年12月4日,十五層,,
RPQNMLSKQHIGFAT37CC,30,36.71,走道，梯間，開放空間，地下室等公共設施,鋼筋混凝土造,82年12月4日,十五層,,
RPSNMLSKQHIGFAT57CC,19,114.28,集合住宅,鋼筋混凝土造,93年9月9日,十四層,,
RPSNMLSKQHIGFAT57CC,19,66.73,防空避難室、停車空間、活動中心、管理中心、警衛室、門廳、通廊,鋼筋混凝土造,93年9月9日,十四層,,
RPRNMLLLQHIGFCT07CC,7,32.63,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPVNMLSKQHIGFAT87CC,31,69.66,住家用,鋼筋混凝土造,81年10月20日,七層,,
RPQNMLLLQHIGFAT76CC,47,35.40,住家用,鋼筋混凝土加強磚造,65年3月8日,二層,,
RPVNMLSKQHIGFAT87CC,31,31.69,共同部份,鋼筋混凝土造,81年10月20日,七層,,
RPRNMLLLQHIGFAT86CC,29,50.37,住家用,鋼筋混凝土造,83年10月6日,七層,,
RPQNMLLLQHIGFCT96CC,7,30.31,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPSNMLLLQHIGFCT17CC,7,30.90,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPUNMLLLQHIGFCT37CC,7,31.81,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPVNMLLLQHIGFCT47CC,9,38.48,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPQOMLLLQHIGFCT07CC,9,33.50,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPXNMLLLQHIGFCT67CC,9,38.64,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPPOMLLLQHIGFCT96CC,9,33.27,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPWNMLLLQHIGFCT57CC,9,29.52,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPROMLLLQHIGFCT17CC,9,33.20,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPOOMLLLQHIGFCT86CC,9,33.27,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPTOMLLLQHIGFCT37CC,9,33.27,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPUOMLLLQHIGFCT47CC,9,33.40,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPTNMLMLQHIGFCT37CC,9,33.19,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPXNMLMLQHIGFCT77CC,9,33.50,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPUNMLMLQHIGFCT47CC,9,38.64,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPWOMLLLQHIGFCT67CC,9,33.50,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPPOMLMLQHIGFCT07CC,9,33.20,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPWNMLMLQHIGFCT67CC,9,33.27,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
