編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLSKQHIGFAT97EC,坡道平面,0,24.28,地下一樓
RPRNMLLLQHIGFAT86CC,坡道機械,0,,地下一樓
RPPNMLTLQHIGFDT77CC,坡道平面,0,,地下一樓
RPQNMLPLQHIGFCT47DC,一樓平面,0,23.47,一樓
RPPNMLOKRHIGFAT96CC,一樓平面,0,,一樓
RPPNMLKLRHIGFAT66CC,坡道機械,0,14.67,地下一樓
RPWNMLMJIIIGFAT56CC,坡道平面,0,,地下一樓
RPRNMLOJIIIGFAT88CC,一樓平面,0,,一樓
RPRNMLMKIIIGFAT78CC,一樓平面,0,,一樓
RPTNMLNKIIIGFAT09CC,一樓平面,0,,一樓
RPPNMLQLRHIGFAT37DC,坡道機械,0,,地下一樓
RPPNMLTKIIIGFCT86CC,一樓平面,0,11.50,一樓
RPPNMLTKIIIGFCT86CC,一樓平面,0,12.65,一樓
