編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKJIIGFBU98DA,悅付南段,7654.35,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01190000
RPPNMLKKJIIGFAU48DA,仁恥段,38.00,都市：住,1,1,全筆移轉,03500002
RPPNMLNKJIIGFBU88DA,紅葉段,7010.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,18710000
RPQOMLKLJIIGFAU78DA,福祥段,5.70,都市：住,28710,57,持分移轉,09970000
RPTNMLPKJIIGFCU96DA,瑞泉段,89.00,都市：其他:住宅區,1,1,全筆移轉,04070000
RPQPMLKLJIIGFAU88DA,民生段民生小段,18.76,都市：商,100000,1876,持分移轉,00660000
RPRNMLTJJIIGFAU86DA,仁愛段,1120.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07020000
RPQOMLPKJIIGFAU56DA,富國段,4.28,都市：住,10000,53,持分移轉,04810000
RPPNMLSJJIIGFBU66DA,鳳光段,241.00,都市：其他:住宅區,1,1,全筆移轉,00070000
RPPNMLSJJIIGFBU66DA,鳳光段,10.00,都市：其他:道路,1,1,全筆移轉,00070007
RPSNMLMLJIIGFBU56DA,綜開段,9902.75,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03710046
RPQNMLSKJIIGFCU96DA,萬寧段,1143.47,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,00250001
RPSNMLSKJIIGFCU17DA,萬寧段,46.01,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03570002
RPSNMLSKJIIGFCU17DA,萬寧段,170.94,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03570003
RPUOMLOKJIIGFAU86DA,富國段,4.84,都市：住,10000,60,持分移轉,04810000
RPQNMLQJJIIGFAU09DA,富國段,20.73,都市：商,100000,1270,持分移轉,01310000
SPSNMLSKJIIGFCU27DA,萬寧段,1.32,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03630001
RPTNMLSKJIIGFCU27DA,萬寧段,343.16,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03720001
RPUNMLSKJIIGFCU37DA,萬寧段,142.57,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,10870001
RPWNMLSKJIIGFCU57DA,新興段,35.48,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,08800001
RPWNMLSKJIIGFCU57DA,學園段,45.28,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,09130001
RPWNMLSKJIIGFCU57DA,學園段,75.24,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,11560001
RPWNMLSKJIIGFCU57DA,學園段,61.53,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,11720001
RPXNMLSKJIIGFCU67DA,學園段,63.35,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,11630001
RPOOMLSKJIIGFCU86DA,新興段,20.09,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,07780003
RPPOMLSKJIIGFCU96DA,新興段,58.54,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,09050001
RPQOMLSKJIIGFCU07DA,竹田段,247.23,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,00140001
RPPNMLQJKIIGFCU76EA,麻汝段,2480.33,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21810000
RPPNMLOKJIIGFCU56EA,中平段,306.83,都市：其他:住宅區,1,1,全筆移轉,00070000
RPPNMLQKJIIGFCU76EA,古風段,2522.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13860001
RPQNMLQJKIIGFCU86EA,瑞良段,104.00,都市：其他:住宅區,1,1,全筆移轉,00770000
RPPNMLMLJIIGFCU09EA,玉城段,101.00,,1,1,全筆移轉,13200004
RPWNMLOKJIIGFAU96DA,光英段,1158.85,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02000001
RPUNMLMLJIIGFAU66DA,富國段,4.67,都市：商,10000,28,持分移轉,03090000
RPXNMLRJJIIGFAU27DA,民勤段,84.00,都市：住,1,1,全筆移轉,04250049
RPXNMLRJJIIGFAU27DA,民勤段,32.50,都市：其他:住宅區,26,1,持分移轉,04250083
RPSNMLNLJIIGFAU56DA,國風段,172.00,都市：住,1,1,全筆移轉,02160000
RPSNMLNLJIIGFAU56DA,國風段,152.50,都市：住,4,1,持分移轉,02260000
RPSNMLNLJIIGFAU56DA,國風段,26.00,都市：其他:道路用地,1,1,全筆移轉,02810000
RPPNMLOLJIIGFCU66EA,哈拉灣段,1906.12,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00630000
