編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQPMLKLJIIGFAU88DA,坡道平面,0,30.64,地下一樓
RPQPMLMJJIIGFAU88DA,坡道平面,800000,52.42,地下一樓
RPQPMLMJJIIGFAU88DA,坡道平面,800000,52.42,地下一樓
RPQPMLMJJIIGFAU88DA,坡道平面,800000,52.42,地下一樓
RPQPMLMJJIIGFAU88DA,坡道平面,800000,52.42,地下一樓
RPROMLSJJIIGFAU86DA,坡道平面,0,,一樓
RPWNMLKMJIIGFAU76DA,坡道平面,0,,地下一樓
RPXNMLOJKIIGFAU07DA,坡道平面,0,14.09,地下二樓
RPPNMLOJKIIGFAU88DA,升降機械,0,12.75,一樓
RPRNMLKMJIIGFAU88DA,一樓平面,0,13.40,一樓
RPTNMLPLIIIGFAU76DA,坡道平面,800000,52.42,地下一樓
RPTNMLPLIIIGFAU76DA,坡道平面,800000,52.42,地下一樓
RPTNMLPLIIIGFAU76DA,坡道平面,800000,52.42,地下一樓
RPOOMLNJJIIGFAU68DA,一樓平面,0,,一樓
RPPOMLSJJIIGFAU66DA,升降機械,0,,一樓
RPXNMLTJJIIGFAU47DA,坡道平面,0,14.46,地下一樓
RPSPMLKLJIIGFAU09DA,一樓平面,0,13.40,一樓
RPXOMLMLJIIGFAU07DA,一樓平面,0,13.50,一樓
RPXOMLKLJIIGFAU86DA,坡道平面,0,30.49,地下三樓
RPQNMLKMJIIGFAU78DA,一樓平面,0,13.50,一樓
RPTNMLOKRHIGFAU37DA,坡道平面,0,17.14,地下一樓
RPUNMLPLRHIGFAU67DA,一樓平面,0,13.40,一樓
RPUOMLMLRHIGFAU47DA,一樓平面,0,13.51,一樓
RPROMLMLRHIGFAU17DA,坡道平面,0,44.61,地下一樓
RPRNMLMJIIIGFAU68DA,坡道機械,0,,地下一樓
RPRNMLRKIIIGFAU66DA,一樓平面,0,,一樓
RPQNMLRKIIIGFAU56DA,其他,0,,地下一樓
RPXNMLRKIIIGFAU27DA,坡道平面,0,15.27,地下一樓
RPTPMLSKIIIGFAU17DA,一樓平面,1300000,15.00,一樓
RPOOMLTKIIIGFAU66DA,升降機械,0,,地下一樓
RPWOMLOLIIIGFAU07DA,坡道平面,0,,一樓
RPSOMLNJJIIGFAU09DA,坡道平面,0,14.09,地下二樓
RPXNMLRLIIIGFAU37DA,一樓平面,0,13.50,一樓
RPUOMLQJJIIGFAU96DA,升降機械,750000,14.93,一樓
RPROMLNLJIIGFAU56DA,一樓平面,1200000,15.00,一樓
RPUNMLKMQHIGFAU17DA,一樓平面,0,13.39,一樓
RPPNMLSKRHIGFAU37DA,坡道平面,0,,地下一樓
RPUOMLOKRHIGFAU57DA,一樓平面,0,5.79,一樓
RPPNMLPKRHIGFAU07DA,一樓平面,0,,一樓
RPPNMLQJRHIGFCU27DA,其他,0,,一樓
RPUOMLLLRHIGFAU37DA,一樓平面,0,15.00,一樓
RPOOMLMLRHIGFAU86DA,坡道平面,0,,地下一樓
RPOOMLTKRHIGFAU47DA,坡道平面,0,,地下一樓
RPQNMLSLRHIGFAU57DA,升降機械,0,,地下一樓
RPVNMLSLRHIGFAU08DA,一樓平面,0,15.00,一樓
RPTOMLNLRHIGFAU47DA,坡道平面,0,18.87,地下一樓
RPUOMLSKQHIGFAU87DA,一樓平面,800000,12.58,一樓
RPRPMLLLQHIGFAU07DA,坡道平面,0,,地下一樓
RPROMLRKQHIGFAU47DA,一樓平面,0,,一樓
RPRNMLMLRHIGFAU07DA,坡道平面,0,24.26,地下一樓
RPPNMLPLIIIGFAU98DA,坡道機械,0,5.15,地下一樓
RPOOMLLMPHIGFAU66DA,一樓平面,1100000,13.75,一樓
