鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路２８號５樓之２,12.27,商,,,1120811,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761104,48.220000000000006,2,1,1,有,無,有,11000,228,,0.0,0,,RPPNMLOKQHIGFAU96CC,,,,,,
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１０號,0.0,住,,,1120801,土地0建物0車位0,二層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0780112,30.74,1,0,1,有,無,有,9000,293,,0.0,0,,RPQNMLOKQHIGFAU07CC,,,,,,
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號二樓,0.0,住,,,1120731,土地0建物0車位0,二層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,21.65,1,0,1,有,無,有,7500,346,,0.0,0,205室,RPRNMLOKQHIGFAU17CC,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛一街１６８號５樓之５,10.23,商,,,1120810,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100528,57.449999999999996,1,1,1,有,有,有,11000,191,,0.0,0,,RPSNMLOKQHIGFAU27CC,,,,,,
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號四樓,0.0,住,,,1120808,土地0建物0車位0,四層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,25.78,1,0,1,有,無,有,8500,330,,0.0,0,,RPTNMLOKQHIGFAU37CC,,,,,,
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號三樓,0.0,住,,,1120731,土地0建物0車位0,三層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,19.83,1,0,1,有,無,有,7500,378,,0.0,0,304室,RPUNMLOKQHIGFAU47CC,,,,,,
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號五樓,0.0,住,,,1120805,土地0建物0車位0,五層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,24.23,1,0,1,有,無,有,8500,351,,0.0,0,,RPVNMLOKQHIGFAU57CC,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市華興街３３號二樓之五,41.15,住,,,1120815,土地1建物1車位0,見其他登記事項,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110322,124.68,2,1,2,有,有,有,16000,128,,0.0,0,,RPPNMLPKQHIGFAU07CC,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美五街１２２巷６號二樓,25.5,住,,,1120809,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720131,70.06,3,1,1,有,無,有,8000,114,,0.0,0,,RPQNMLPKQHIGFAU17CC,,,,,,
