編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLOKQHIGFAU37CC,2,25.78,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPVNMLOKQHIGFAU57CC,2,24.23,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPQNMLPKQHIGFAU17CC,41,58.40,住家用,鋼筋混凝土造,72年1月31日,四層,,
RPQNMLPKQHIGFAU17CC,,11.66,共有部份,鋼筋混凝土造,,四層,,
RPUNMLOKQHIGFAU47CC,2,19.83,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPQNMLQKQHIGFAU27CC,45,119.76,住家用,鋼筋混凝土加強磚造,68年1月26日,二層,,
RPSNMLOKQHIGFAU27CC,2,37.55,集合住宅,鋼筋混凝土造,110年5月28日,七層,,
RPSNMLOKQHIGFAU27CC,2,19.90,共有部份,鋼筋混凝土造,110年5月28日,七層,,
RPPNMLPKQHIGFAU07CC,1,84.89,集合住宅,鋼筋混凝土造,111年3月22日,五層,,
RPPNMLPKQHIGFAU07CC,1,39.79,共有部份,鋼筋混凝土造,111年3月22日,五層,,
RPPNMLRKQHIGFAU27CC,41,94.60,住家用,鋼筋混凝土加強磚造,71年11月29日,一層,,
RPQNMLRKQHIGFAU37CC,42,61.49,住家用,鋼筋混凝土造,70年11月24日,七層,,
RPQNMLRKQHIGFAU37CC,42,13.07,共有部份,鋼筋混凝土造,70年11月24日,七層,,
RPRNMLSKQHIGFAU57CC,39,74.57,住家用,鋼筋混凝土造,73年12月20日,五層,,
RPRNMLSKQHIGFAU57CC,39,3.94,共有部份,鋼筋混凝土造,73年12月20日,五層,,
RPRNMLSKQHIGFAU57CC,39,13.16,共有部份,鋼筋混凝土造,73年12月20日,五層,,
RPPNMLSKQHIGFAU37CC,35,20.36,住商用,鋼筋混凝土造,78年1月12日,四層,,
RPUNMLMLQHIGFAU37CC,3,53.33,店舖,鋼筋混凝土造,110年2月4日,六層,,
RPUNMLMLQHIGFAU37CC,3,9.59,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPUNMLMLQHIGFAU37CC,3,16.49,共有部份,鋼筋混凝土造,110年2月4日,六層,,
RPVNMLMLQHIGFAU47CC,24,57.16,住家用,鋼筋混凝土造,88年8月4日,五層,,
RPVNMLMLQHIGFAU47CC,24,9.26,共有部份,鋼筋混凝土造,88年8月4日,五層,,
RPXNMLMLQHIGFAU67CC,17,252.59,住商用,鋼筋混凝土造,95年8月4日,四層,,
RPQNMLSKQHIGFAU47CC,26,21.22,共有部份,鋼筋混凝土造,86年2月24日,十層,,
RPQNMLSKQHIGFAU47CC,26,74.75,住商用,鋼筋混凝土造,86年2月24日,十層,,
RPPNMLMLQHIGFAU96DC,44,134.87,住商用,鋼筋混凝土造,68年5月4日,三層,,
RPQNMLMLQHIGFAU07DC,43,19.95,住家用,鋼筋混凝土造,69年5月3日,五層,,
RPQNMLMLQHIGFAU07DC,43,2.88,共有部份,鋼筋混凝土造,69年5月3日,,,
RPQNMLMLQHIGFAU07DC,43,1.81,共有部份,鋼筋混凝土造,69年5月3日,五層,,
RPSNMLMLQHIGFAU27DC,28,56.93,住家用,鋼筋混凝土造,84年3月16日,五層,,
RPSNMLMLQHIGFAU27DC,28,14.97,共有部份,鋼筋混凝土造,84年3月16日,五層,,
RPTNMLMLQHIGFAU37DC,28,39.03,住家用,鋼筋混凝土造,84年11月24日,四層,,
RPWNMLMLQHIGFAU67DC,39,124.03,住商用,鋼筋混凝土加強磚造,73年2月21日,二層,,
RPTNMLMLQHIGFAU37DC,28,12.07,共有部分,鋼筋混凝土造,84年11月24日,四層,,
RPQNMLNLQHIGFAU07CC,37,114.78,住家用,鋼筋混凝土造,75年4月2日,五層,,
RPQNMLNLQHIGFAU07CC,37,9.53,共有部份,鋼筋混凝土造,75年4月2日,五層,,
RPQNMLNLQHIGFAU07CC,37,7.90,共有部份,鋼筋混凝土造,75年4月2日,五層,,
RPSNMLNLQHIGFAU27CC,37,20.18,住家用,鋼筋混凝土造,75年5月31日,九層,,
RPSNMLNLQHIGFAU27CC,37,6.34,共有部份,鋼筋混凝土造,75年5月31日,九層,,
RPRNMLOLQHIGFAU27CC,22,191.17,住家用,鋼筋混凝土造,90年9月24日,二層,,
RPPNMLOLQHIGFAU07CC,46,118.10,住商用,鋼筋混凝土加強磚造,66年6月20日,二層,,
RPUNMLOLQHIGFAU57CC,28,58.84,住家用,鋼筋混凝土造,84年8月11日,五層,,
RPUNMLOLQHIGFAU57CC,28,7.22,共有部份,鋼筋混凝土造,84年8月11日,五層,,
RPQNMLOLQHIGFAU17CC,28,130.37,住家用,鋼筋混凝土造,84年7月26日,三層,,
RPSNMLOLQHIGFAU37CC,5,46.11,集合住宅,鋼筋混凝土造,107年4月27日,十二層,,
RPSNMLOLQHIGFAU37CC,5,10.51,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,
RPSNMLOLQHIGFAU37CC,5,13.63,共有部份,鋼筋混凝土造,107年4月27日,十二層,,
RPWNMLOLQHIGFAU77CC,32,77.64,住商用,鋼筋混凝土造,81年1月22日,三層,,
RPRNMLOKQHIGFAU17CC,2,21.65,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPPNMLOKQHIGFAU96CC,36,36.59,住家用,鋼筋混凝土造,76年11月4日,七層,,
RPPNMLOKQHIGFAU96CC,36,11.63,共有部份,鋼筋混凝土造,76年11月4日,七層,,
RPQNMLOKQHIGFAU07CC,35,30.74,住商用,鋼筋混凝土造,78年1月12日,四層,,
RPPNMLTLQHIGFAU67DC,46,434.77,住商用,鋼筋混凝土造,66年11月16日,三層,,
RPPNMLKMQHIGFAU76CC,33,169.97,廠房、辦公室、宿舍、儲藏室,鋼筋混凝土造,79年11月6日,二層,,
RPQNMLSLQHIGFAU57CC,32,23.20,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,,
RPSNMLTLQHIGFAU87CC,36,166.67,住家用,鋼筋混凝土造,76年6月16日,二層,,
RPRNMLPLQHIGFAU37CC,7,254.75,住商用,鋼筋混凝土造,105年10月11日,九層,,
RPRNMLPLQHIGFAU37CC,7,52.01,共有部份（機電室、電梯間、管理室、樓梯間、騎樓）,鋼筋混凝土造,105年10月11日,九層,,
RPVNMLPLQHIGFAU77CC,29,94.50,住家用,鋼筋混凝土造,83年5月18日,七層,,
RPRNMLSLQHIGFAU67CC,16,261.18,農舍,鋼筋混凝土造,96年9月21日,二層,,
RPVNMLPLQHIGFAU77CC,29,24.62,共有部份,鋼筋混凝土造,83年5月18日,七層,,
RPUNMLPLQHIGFAU67CC,24,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,,
RPUNMLPLQHIGFAU67CC,24,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,,
RPUNMLPLQHIGFAU67CC,24,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,,
RPQNMLPLQHIGFAU27CC,1,39.64,住家用,鋼筋混擬土、鋼骨或鋼骨混合造,111年5月26日,四層,,
RPPNMLPLQHIGFAU17CC,31,73.51,倉儲,鋼筋混凝土造,81年9月30日,八層,,
RPPNMLPLQHIGFAU17CC,31,15.22,共有部份,鋼筋混凝土造,81年9月30日,八層,,
RPTNMLKMQHIGFAU17CC,35,69.91,住家用,鋼筋混凝土造,77年11月25日,五層,,
RPTNMLKMQHIGFAU17CC,35,4.54,共有部份,鋼筋混凝土造,77年11月25日,五層,,
RPSNMLQJRHIGFAU47CC,3,54.49,店舖,鋼筋混凝土造,110年2月4日,七層,,
RPSNMLQJRHIGFAU47CC,3,9.76,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPSNMLQJRHIGFAU47CC,3,15.54,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPUNMLKMQHIGFAU27CC,28,25.94,住家用,鋼筋混凝土造,84年4月14日,五層,,
RPPNMLLMQHIGFAU86CC,18,130.32,住商用,鋼筋混凝土造,94年3月25日,四層,,
RPQNMLLMQHIGFAU96CC,29,196.61,住家用,鋼筋混凝土造,84年2月21日,三層,,
RPUNMLKMQHIGFAU27CC,28,13.27,共有部份,鋼筋混凝土造,84年4月14日,五層,,
RPRNMLQJRHIGFAU37CC,29,65.37,住家用,鋼筋混凝土造,83年5月25日,六層,,
RPRNMLQJRHIGFAU37CC,29,28.14,共有部份,鋼筋混凝土造,83年5月25日,六層,,
RPRNMLKMQHIGFAU96CC,18,130.32,住商用,鋼筋混凝土造,94年3月25日,四層,,
RPUNMLQJRHIGFAU67CC,29,30.06,住家用,鋼筋混凝土造,83年8月22日,五層,,
RPUNMLQJRHIGFAU67CC,29,6.11,共有部份,鋼筋混凝土造,83年8月22日,五層,,
RPVNMLQJRHIGFAU77CC,43,83.35,住家用,鋼筋混凝土造,69年12月12日,四層,,
RPVNMLQJRHIGFAU77CC,43,16.06,共有部份,鋼筋混凝土造,69年12月12日,四層,,
RPTNMLSJRHIGFAU77CC,37,34.38,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPPNMLSJRHIGFAU37CC,52,71.22,住家用,鋼筋混凝土加強磚造,60年7月24日,二層,,
RPOOMLSJRHIGFAU37CC,28,119.28,住家用,鋼筋混凝土造,85年1月30日,五層,,
RPOOMLSJRHIGFAU37CC,28,22.64,共有部份,鋼筋混凝土造,85年1月30日,五層,,
RPRNMLSJRHIGFAU57CC,45,117.80,住商用,鋼筋混凝土加強磚造,67年9月15日,二層,,
RPUNMLRJRHIGFAU77CC,34,265.23,住工用,鋼筋混凝土造,78年9月9日,三層,,
RPVNMLRJRHIGFAU87CC,3,54.49,店舖,鋼筋混凝土造,110年2月4日,七層,,
RPVNMLRJRHIGFAU87CC,3,9.76,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPVNMLRJRHIGFAU87CC,3,15.54,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPWNMLSJRHIGFAU08CC,25,33.71,住家用,鋼筋混凝土造,87年10月6日,五層,,
RPWNMLSJRHIGFAU08CC,25,17.53,共有部份,鋼筋混凝土造,87年10月6日,五層,,
RPVNMLSJRHIGFAU97CC,29,27.46,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPVNMLSJRHIGFAU97CC,29,8.53,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPSNMLRJRHIGFAU57CC,2,76.34,集合住宅,鋼筋混凝土造,110年9月17日,七層,,
RPVNMLSJRHIGFAU97CC,29,4.58,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPSNMLRJRHIGFAU57CC,2,33.18,共有部份,鋼筋混凝土造,110年9月17日,七層,,
RPQNMLLKRHIGFAU86CC,36,109.54,住家用,鋼筋混凝土造,76年11月6日,二層,,
RPPNMLLKRHIGFAU76CC,24,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,,
RPPNMLLKRHIGFAU76CC,24,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,,
RPPNMLLKRHIGFAU76CC,24,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,,
RPTNMLMKRHIGFAU27CC,29,174.47,停車空間、住宅,鋼筋混凝土造,83年9月29日,四層,,
RPSOMLMKRHIGFAU27CC,22,153.81,住家用,鋼筋混凝土造,90年10月11日,三層,,
RPUNMLMKRHIGFAU37CC,28,22.92,住家用,鋼筋混凝土造,85年1月30日,五層,,
