鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號五樓之９,10.39,商,,,1121106,土地2建物1車位0,五層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0840714,37.81,1,0,0,有,有,1000000,26448,,0.0,0,,RPRNMLQJJIIGFDV96DA,27.07,3.8,0.0,有,
卑南鄉,土地,利家段6359地號,1819.0,,特定農業區,農牧用地,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,2089,,0.0,0,,RPSNMLRJJIIGFAV86DA,0.0,0.0,0.0,無,
成功鎮,土地,新八邊段142地號,640.09,,風景區,農牧用地,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,625,,0.0,0,,RPSNMLTJJIIGFBV17DA,0.0,0.0,0.0,無,
台東市,土地,台東段653-1地號,322.0,,,,1121109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17603418,54669,,0.0,0,協議價購；,RPQNMLKMIIIGFAV78DA,0.0,0.0,0.0,無,
台東市,土地,台東段653-10地號,153.0,,,,1121109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8364357,54669,,0.0,0,協議價購；,SPQNMLKMIIIGFAV88DA,0.0,0.0,0.0,無,
成功鎮,土地,新八邊段148地號,690.58,,風景區,農牧用地,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,579,,0.0,0,,RPRNMLTJJIIGFBV07DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市富貴街６９號三樓之３２,10.56,住,,,1121107,土地2建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821027,45.989999999999995,1,1,1,有,無,650000,14134,,0.0,0,,RPWNMLRJJIIGFAV27DA,30.33,0.0,0.0,有,001
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號二樓之１,11.54,商,,,1121103,土地2建物1車位0,二層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0840714,45.550000000000004,1,1,1,有,有,1150000,25247,,0.0,0,,RPPNMLTJJIIGFDV07DA,32.73,4.79,0.0,有,
達仁鄉,土地,安朔段628地號,14901.0,,山坡地保育區,林業用地,1121106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,536436,36,,0.0,0,,RPRNMLTJJIIGFDV27DA,0.0,0.0,0.0,無,002
台東市,房地(土地+建物),臺東縣台東市中華路一段１３６號六樓之５,4.73,住,,,1121103,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,32.09,1,0,1,有,有,1010000,31474,,0.0,0,,RPROMLTJJIIGFAV07DA,18.32,0.0,0.0,有,
台東市,土地,台東段653-3地號,102.0,,,,1121114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5576238,54669,,0.0,0,協議價購；,RPRNMLKMIIIGFAV88DA,0.0,0.0,0.0,無,
台東市,土地,自強段857地號,1400.0,,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14630000,10450,,0.0,0,協議價購；,RPQNMLLJJIIGFAV68DA,0.0,0.0,0.0,無,
成功鎮,土地,麒麟段1191地號,1264.24,,風景區,交通用地,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,630000,498,,0.0,0,,RPPNMLTJJIIGFBV86DA,0.0,0.0,0.0,無,
鹿野鄉,土地,鹿野段2162地號,2264.0,,特定農業區,農牧用地,1121101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300000,1016,,0.0,0,,RPPNMLPKJIIGFCV66DA,0.0,0.0,0.0,無,
太麻里鄉,土地,泰王段518地號,241.19,住,,,1121103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,8292,,0.0,0,未登記建物；,RPPNMLRKJIIGFDV96DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市中興路三段５７９巷１１４弄３３號,52.49,住,,,1121109,土地1建物1車位0,全,一層,透天厝,住家用,磚石造,0710222,28.5,4,2,1,有,無,1700000,59649,,0.0,0,含傢俱設備費；頂樓加蓋；其他增建；,RPSNMLQKJIIGFAV86DA,28.5,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市康定街３２９號,197.42,住,,,1121116,土地3建物1車位0,全,三層,透天厝,住家用,ＲＣ造,1090311,268.21,6,2,7,有,無,14100000,52571,,0.0,0,,RPTNMLQKJIIGFAV96DA,249.13,19.08,0.0,無,003
台東市,房地(土地+建物),臺東縣台東市中興路二段４５０巷２８弄６８號二樓,5.0,住,,,1121104,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850628,33.56,1,0,1,有,有,1880000,56019,,0.0,0,含傢俱設備費；,RPSNMLRKJIIGFAV96DA,24.22,1.44,0.0,有,004
關山鎮,土地,月野段376-2地號,2812.33,,特定農業區,農牧用地,1121102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3163505,1125,,0.0,0,,RPPNMLKLJIIGFCV88DA,0.0,0.0,0.0,無,005
關山鎮,土地,月野段377地號,4833.0,,特定農業區,農牧用地,1121102,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5436495,1125,,0.0,0,,RPQNMLKLJIIGFCV98DA,0.0,0.0,0.0,無,
台東市,土地,自強段919-4地號,28.0,,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,292600,10450,,0.0,0,協議價購；,RPRNMLNJIIIGFAV88DA,0.0,0.0,0.0,無,
台東市,土地,自強段919-5地號,16.0,,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,167200,10450,,0.0,0,協議價購；,SPRNMLNJIIIGFAV98DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市豐榮路１８巷７號,69.0,都市：其他:住宅區,,,1121108,土地2建物1車位0,全,二層,透天厝,住家用,鐵筋水泥磚,0630501,87.0,3,2,1,有,無,3500000,40230,,0.0,0,含傢俱設備費；其他增建；,RPTNMLRKJIIGFAV07DA,87.0,0.0,0.0,無,
大武鄉,土地,復興段587地號,794.83,住,,,1121115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,3145,,0.0,0,,RPPNMLLLJIIGFDV09DA,0.0,0.0,0.0,無,
太麻里鄉,土地,荒野段370地號,1367.93,,一般農業區,農牧用地,1121117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1650000,1206,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPNMLMLJIIGFDV66EA,0.0,0.0,0.0,無,006
台東市,房地(土地+建物),臺東縣台東市咸陽街１２１巷２０號,340.0,住,,,1121102,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0761117,259.3,5,2,4,有,無,25000000,96413,,0.0,0,,RPQNMLPJJIIGFAV09DA,259.3,0.0,0.0,無,
太麻里鄉,土地,金崙段668地號,5190.0,,山坡地保育區,農牧用地,1121113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,478000,92,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLJIIGFDV56DA,0.0,0.0,0.0,無,
成功鎮,土地,忠智段101-3地號,87.01,住,,,1121112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1316000,15125,,0.0,0,,RPPNMLOKJIIGFBV09DA,0.0,0.0,0.0,無,
成功鎮,土地,和平南段881地號,1570.53,,風景區,農牧用地,1121113,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,223,,0.0,0,,RPRNMLNLJIIGFBV66DA,0.0,0.0,0.0,無,
台東市,土地,豐橋段12-6地號,455.32,,,,1121115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,853170,1874,,0.0,0,不含獎勵金協議價購；,RPWPMLSLQHIGFAV38DA,0.0,0.0,0.0,無,
台東市,土地,普優瑪段1127地號,230.66,,,,1121115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,761178,3300,,0.0,0,協議價購；,RPWNMLOLJIIGFAV17DA,0.0,0.0,0.0,無,
成功鎮,房地(土地+建物),臺東縣成功鎮開封街３號,179.74,住,,,1121109,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0731224,109.62,5,1,1,有,無,3800000,34665,,0.0,0,,RPPNMLMLJIIGFBV98DA,109.62,0.0,0.0,無,
長濱鄉,土地,八桑灣段157地號,2677.02,,風景區,農牧用地,1121109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,747,,0.0,0,,RPPNMLNLJIIGFBV56EA,0.0,0.0,0.0,無,
綠島鄉,土地,上南寮段1182地號,165.47,商,,,1121115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,42304,,0.0,0,,RPPNMLRLJIIGFAV76DA,0.0,0.0,0.0,無,
東河鄉,房地(土地+建物),臺東縣東河鄉南東河１９２號,115.58,住,,,1121111,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0830502,136.36,4,1,2,有,無,8000000,58668,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；,RPPNMLRLJIIGFBV86DA,119.8,9.67,6.89,無,007
池上鄉,房地(土地+建物),臺東縣池上鄉慶福路５２巷５號,91.42,住,,,1121106,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830310,134.43,4,2,5,有,無,10300000,76620,,0.0,0,含裝潢費；含傢俱設備費；,RPQNMLNLJIIGFCV66DA,134.43,0.0,0.0,無,008
台東市,房地(土地+建物),臺東縣台東市更生北路７０９巷８２號,100.14,住,,,1121114,土地1建物1車位0,全,三層,透天厝,住家用,ＲＣ造,1060210,154.98,5,2,5,有,無,5600000,36134,,0.0,0,急買急賣；,RPUNMLPKJIIGFAV96DA,140.12,14.86,0.0,無,009
綠島鄉,土地,下南寮段758地號,578.1,都市：其他:保護區,,,1121112,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1680000,2906,,0.0,0,,RPRNMLMLJIIGFAV09DA,0.0,0.0,0.0,無,010
台東市,土地,上岩灣段792地號,330.61,都市：其他:住宅區,,,1121110,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,10586,,0.0,0,具重建或重劃、都更等效益；,RPPNMLPLJIIGFAV56DA,0.0,0.0,0.0,無,011
台東市,房地(土地+建物),臺東縣台東市開封街３０１號八樓之２號,3.64,商,,,1121114,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820522,38.44,1,0,1,有,有,1880000,48907,,0.0,0,含傢俱設備費；,RPQNMLRLJIIGFAV86DA,22.98,0.0,5.08,有,
台東市,房地(土地+建物),臺東縣台東市正氣北路７６巷４４號,69.0,住,,,1121101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700922,88.2,3,2,2,有,無,5700000,64626,,0.0,0,其他增建；含租約；,RPRNMLRLJIIGFAV96DA,88.2,0.0,0.0,無,
台東市,土地,上岩灣段792地號,661.21,都市：其他:住宅區,,,1121110,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,10587,,0.0,0,具重建或重劃、都更等效益；,RPQNMLPLJIIGFAV66DA,0.0,0.0,0.0,無,011
成功鎮,房地(土地+建物),臺東縣成功鎮公民路７２號,60.49,農,,,1121115,土地1建物1車位0,全,一層,透天厝,住家用,水泥磚木造蓋瓦,0641001,54.34,0,0,0,無,無,1100000,20243,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；,RPPNMLLLJIIGFBV88DA,54.34,0.0,0.0,無,
台東市,土地,東谷段4-2地號,950.7,,,,1121114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10400000,10939,,0.0,0,包含公共設施保留地用地；,RPQNMLTLJIIGFAV07DA,0.0,0.0,0.0,無,
卑南鄉,土地,太平段1792地號,7.63,,鄉村區,乙種建築用地,1121116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,80700,10577,,0.0,0,畸零地或有合併使用效益；,RPSNMLTLJIIGFAV27DA,0.0,0.0,0.0,無,
東河鄉,土地,高原段583-14地號,1732.0,,風景區,農牧用地,1121114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,58,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNLJIIGFBV76DA,0.0,0.0,0.0,無,
成功鎮,土地,南都歷段149地號,135.97,,鄉村區,乙種建築用地,1121120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1850000,13606,,0.0,0,,RPQNMLSLJIIGFBV07DA,0.0,0.0,0.0,無,
池上鄉,房地(土地+建物),臺東縣池上鄉仁愛路１８６號三樓,25.29,住,,,1121115,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841114,101.97,2,2,1,有,無,4000000,39227,,0.0,0,,RPPNMLLJKIIGFCV88DA,75.41,0.0,6.95,無,
台東市,房地(土地+建物),臺東縣台東市康樂路１３１巷３弄８號二樓,23.41,都市：其他:住宅區,,,1121109,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840601,93.11999999999999,3,2,1,有,有,2800000,30069,,0.0,0,,RPQNMLOKJIIGFAV09DA,63.7,10.26,0.0,無,013
卑南鄉,土地,太平段563地號,92.1,,特定農業區,甲種建築用地,1121116,土地1建物1車位0,一層，二層,二層,其他,住家用,加強磚造,0750920,121.27,0,0,0,無,無,5800000,62975,,0.0,0,,RPTNMLLJKIIGFAV09DA,0.0,0.0,0.0,無,
台東市,土地,豐谷段209地號,1413.0,住,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,45292000,32054,,0.0,0,,RPRNMLSJJIIGFAV86DA,0.0,0.0,0.0,無,
台東市,土地,豐谷段208地號,122.0,都市：其他:道路用地,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1708000,14000,,0.0,0,包含公共設施保留地用地；,SPRNMLSJJIIGFAV96DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市康樂路１３１巷５弄１號二樓,25.2,都市：其他:住宅區,,,1121120,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840601,98.19999999999999,3,2,2,有,無,3650000,37169,,0.0,0,,RPPNMLLLJIIGFAV78DA,68.61,9.49,0.0,無,014
卑南鄉,土地,利家段7411地號,1510.0,,特定農業區,農牧用地,1121115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,2384,,0.0,0,,RPSNMLLLJIIGFAV09DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市開封街３０１號六樓之四,3.64,商,,,1121125,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820522,38.44,1,0,1,有,有,1970000,51249,,0.0,0,,RPRNMLPLJIIGFAV76DA,22.98,0.0,5.08,有,015
