鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
台東市,建物,臺東縣臺東市更生路５０巷１８號,0.0,住,,,1120813,土地0建物1車位0,見其他登記事項,3,店面(店鋪),人行、店舖、住宅,鋼骨造,0920120,212.09,2,1,2,有,無,無,23000,108,,0.0,0,,RPPNMLLLQHIGFAV86CC,,,,,,
台東市,租賃房屋,臺東縣臺東市光明路８號,79.0,住,,,1120814,土地1建物1車位0,全,2,透天厝,住家用,鐵筋水泥磚造,0600830,75.0,4,2,4,有,無,無,15000,200,,0.0,0,,RPPNMLSJRHIGFAV47CC,,無,1120901~1140831,無,,
台東市,租賃房屋,臺東縣臺東市光榮街３９號３樓之２,0.0,,,,1120831,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1070903,27.88,1,1,1,有,無,有,7800,280,,0.0,0,,RPPNMLSKRHIGFAV57CC,整棟(戶)出租,無,1120901~1130831,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
台東市,租賃房屋,臺東縣臺東市光榮街３９號５樓之２,0.0,,,,1120829,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1070903,25.21,1,1,1,有,無,有,7200,286,,0.0,0,,RPRNMLSKRHIGFAV77CC,整棟(戶)出租,無,1120901~1130831,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
台東市,租賃房屋,臺東縣臺東市光榮街３９號２樓之３,0.0,,,,1120831,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1070903,30.36,1,1,1,有,無,有,7800,257,,0.0,0,,RPSNMLSKRHIGFAV87CC,整棟(戶)出租,無,1120901~1130831,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
台東市,租賃房屋,臺東縣臺東市開封街６３２巷５２號,0.0,,,,1120823,土地0建物0車位0,全,3,透天厝,住宅、樓梯間,ＲＣ造,1030922,23.14,12,12,12,有,無,有,7500,324,,0.0,0,租金總額含水費；網路費；,RPRNMLKLRHIGFAV07CC,分租套房,無,1120901~1130831,無,冷氣、熱水器、洗衣機、冰箱、網路,一般轉租
台東市,租賃房屋,臺東縣臺東市豐榮路２４８號,0.0,,,,1120906,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951017,27.9,17,17,17,有,無,有,6500,233,,0.0,0,租金總額含水費；,RPSNMLKLRHIGFAV17CC,分租套房,無,1121001~1130930,無,冷氣、熱水器、洗衣機、冰箱、網路,一般代管
台東市,租賃房屋,臺東縣臺東市福建路２４１號,41.0,商,,,1120918,土地1建物1車位0,見其他登記事項,3,店面(店鋪),店舖．住宅,鋼筋混凝土造,0660914,94.2,2,1,3,有,無,無,29000,308,,0.0,0,,RPPNMLQLRHIGFAV47CC,,無,1121101~1141031,無,熱水器,
台東市,租賃房屋,臺東縣臺東市南一街４８巷２號,0.0,,,,1121003,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),Ｈ２集合住宅,ＲＣ造,1090724,64.38,2,2,1,有,有,無,13000,202,,0.0,0,租金總額含管理費；,RPPNMLQJIIIGFAV09CC,整棟(戶)出租,無,1121015~1131014,有,冷氣、熱水器、洗衣機、冰箱,
台東市,租賃房屋,臺東縣臺東市四維路三段１２５號,105.0,住,,,1120924,土地1建物1車位0,全,4,透天厝,騎樓、店舖、住宅,ＲＣ造,1031014,201.65,8,1,9,有,有,有,40000,198,,0.0,0,多人共同承租8；租金總額含水費；網路費；,RPPNMLNLIIIGFAV98CC,獨立套房,無,1120924~1130923,無,熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
台東市,租賃房屋,臺東縣臺東市富裕路５０１巷３１弄２０號,0.0,,,,1121028,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831028,209.38,5,2,2,有,無,無,10000,48,,0.0,0,,RPPNMLKMIIIGFAV78CC,整棟(戶)出租,無,1121108~1151107,無,,
台東市,租賃房屋,臺東縣臺東市傳廣路２１３號,0.0,,,,1121013,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0690820,127.27,0,2,1,有,無,無,18000,141,,0.0,0,,RPPNMLNJJIIGFAV98DC,,無,1121101~1141031,無,,
