編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLSKRHIGFAV77CC,5,25.21,集合住宅,ＲＣ造,107年9月3日,五層,,
RPPNMLLLQHIGFAV86CC,21,212.09,人行、店舖、住宅,鋼骨造,92年1月20日,三層,,
RPSNMLSKRHIGFAV87CC,5,30.36,集合住宅,ＲＣ造,107年9月3日,五層,,
RPPNMLSJRHIGFAV47CC,52,75.00,住家用,鐵筋水泥磚造,60年8月30日,二層,,
RPPNMLSKRHIGFAV57CC,5,27.88,集合住宅,ＲＣ造,107年9月3日,五層,,
RPRNMLKLRHIGFAV07CC,9,23.14,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPSNMLKLRHIGFAV17CC,17,27.90,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPPNMLQJIIIGFAV09CC,3,64.38,Ｈ２集合住宅,ＲＣ造,109年7月24日,五層,,
RPPNMLQLRHIGFAV47CC,46,94.20,店舖．住宅,鋼筋混凝土造,66年9月14日,三層,,
RPPNMLNLIIIGFAV98CC,9,201.65,騎樓、店舖、住宅,ＲＣ造,103年10月14日,三層,,
RPPNMLKMIIIGFAV78CC,29,209.38,住家用,鋼筋混凝土造,83年10月28日,四層,,
RPPNMLNJJIIGFAV98DC,43,127.27,住家用,鋼筋混凝土造,69年8月20日,四層,,
