鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
烈嶼鄉,土地,庵下測段989地號,513.74,農,,,1121206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,1168,,0.0,0,,RPPNMLQJKIIGFAW76EA,0.0,0.0,0.0,無,
烈嶼鄉,土地,東林段122-4地號,18.55,都市：其他:自然村專用區,,,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360983,19460,,0.0,0,,RPPNMLMJJIIGFAW78DA,0.0,0.0,0.0,無,
烈嶼鄉,土地,庵下測段643地號,799.74,都市：其他:保護區,,,1121106,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,375,,0.0,0,,RPPNMLQJJIIGFAW66EA,0.0,0.0,0.0,無,
金城鎮,土地,城南段237地號,11.09,商,,,1121101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,108206,,0.0,0,,RPPNMLRJJIIGFAW66DA,0.0,0.0,0.0,無,001
金沙鎮,房地(土地+建物),金門縣金沙鎮博愛街１３號,51.05,商,,,1121103,土地1建物1車位0,一層，二層，三層,二層,公寓(5樓含以下無電梯),商業用,鋼筋，水泥，瓦,0571015,122.27,0,0,0,無,無,8800000,71972,,0.0,0,,RPPNMLOKJIIGFAW56EA,112.99,4.56,4.72,無,
金寧鄉,土地,北四劃段20地號,567.0,農,,,1121114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,4409,,0.0,0,,RPQNMLOKJIIGFAW66EA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡６３之５號二樓,57.0,都市：其他:自然村專用區,,,1121103,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1010918,96.89,3,2,2,有,無,7100000,73279,,0.0,0,,RPRNMLNKJIIGFAW56DA,83.71,0.0,8.1,無,002
烈嶼鄉,土地,東林段104地號,61.0,都市：其他:自然村專用區,,,1121113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,650000,10656,,0.0,0,,RPQNMLOKJIIGFAW56DA,0.0,0.0,0.0,無,003
烈嶼鄉,土地,東林段105地號,127.0,都市：其他:自然村專用區,,,1121113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350000,10630,,0.0,0,,RPRNMLOKJIIGFAW66DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮市港五路１５０之１號５樓,8.49,商,,,1121101,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1090408,61.08,1,1,1,有,無,5500000,90046,,0.0,0,,RPPNMLNKJIIGFAW09EA,30.75,4.66,5.01,有,004
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林１１３之１號三樓,51.67,都市：其他:自然村專用區,,,1121114,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1051116,85.7,3,1,2,有,無,6900000,80513,,0.0,0,,RPQNMLQKJIIGFAW76DA,69.09,0.0,10.42,無,
金沙鎮,土地,擎天段41地號,551.9,都市：其他:保護區,,,1121117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,1450,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLJIIGFAW88EA,0.0,0.0,0.0,無,
金城鎮,土地,后豐港段10地號,242.25,都市：其他:自然村專用區,,,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3066834,12660,,0.0,0,含土地增值稅或其他稅費766834元；親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKJIIGFAW07DA,0.0,0.0,0.0,無,
金沙鎮,土地,浯坑劃測段570地號,624.64,農,,,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2650000,4242,,0.0,0,,RPQNMLQKJIIGFAW86EA,0.0,0.0,0.0,無,005
金寧鄉,土地,盤山村測段679-1地號,43.24,都市：其他:自然村專用區,,,1121115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1962000,45375,,0.0,0,,RPPNMLRKJIIGFAW86EA,0.0,0.0,0.0,無,006
金城鎮,土地,小西門劃測段376-1地號,253.02,都市：其他:保護區,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1365000,5395,,0.0,0,國有產法第53條規定市場查估現值計價政府機關標讓售；,RPPNMLSJJIIGFAW76DA,0.0,0.0,0.0,無,
金寧鄉,土地,古寧頭測段900地號,73.61,都市：其他:國家公園區,,,1121113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,20378,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPKJIIGFAW56DA,0.0,0.0,0.0,無,
金湖鎮,土地,太武段425地號,129.89,都市：其他:國家公園區,,,1121114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,398000,3064,,0.0,0,,RPQNMLMLJIIGFAW09DA,0.0,0.0,0.0,無,007
金湖鎮,土地,新頭段346-8地號,1939.36,農,,,1121120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,1031,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLJIIGFAW98EA,0.0,0.0,0.0,無,
金寧鄉,土地,寧湖三劃段662地號,1000.0,都市：其他:閩南建築專用區,,,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13000000,13000,,0.0,0,,RPQNMLKKJIIGFAW78DA,0.0,0.0,0.0,無,008
金沙鎮,土地,北九劃段1220地號,1000.0,農,,,1121104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,7500,,0.0,0,,RPTNMLOLJIIGFAW96DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮武德新莊自強路１８之１號１樓,24.02,商,,,1121122,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0871012,94.15,2,0,0,有,無,9000000,95592,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLJIIGFAW09EA,76.5,3.48,0.0,無,
金沙鎮,土地,官嶼劃段754地號,500.0,農,,,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1960000,3920,,0.0,0,,RPQNMLMLJIIGFAW56EA,0.0,0.0,0.0,無,009
金沙鎮,土地,高坑劃測段510地號,320.13,農,,,1121109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1900000,5935,,0.0,0,包含公共設施保留地用地；,RPPNMLKKJIIGFAW68DA,0.0,0.0,0.0,無,
金寧鄉,土地,古寧頭測段350地號,36.92,都市：其他:國家公園區,,,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,13543,,0.0,0,,RPRNMLKKJIIGFAW88DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下９６之３號５樓,52.68,都市：其他:自然村專用區,,,1121115,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120630,112.63,3,1,2,有,有,8800000,78132,,0.0,0,,RPUNMLNLJIIGFAW96DA,89.27,0.0,8.82,有,
金城鎮,房地(土地+建物),金門縣金城鎮民權路２２６巷４弄１７號,13.2,住,,,1121104,土地1建物1車位0,一層，見其他登記事項,五層,華廈(10層含以下有電梯),商辦用,鋼筋混凝土造,1020223,50.38,0,0,0,無,無,8500000,168684,,0.0,0,,RPUNMLMLJIIGFAW86DA,38.31,2.47,0.0,有,010
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下９６之２號３樓,52.68,都市：其他:自然村專用區,,,1121119,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120630,112.63,3,1,2,有,有,8700000,77244,,0.0,0,,RPVNMLNLJIIGFAW07DA,89.27,0.0,8.82,有,
金沙鎮,土地,北九劃段1158地號,2000.0,農,,,1121104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,4500,,0.0,0,,RPVNMLOLJIIGFAW17DA,0.0,0.0,0.0,無,
金寧鄉,土地,寧湖三劃段381地號,1000.0,農,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8100000,8100,,0.0,0,,RPSNMLRLJIIGFAW17DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮市港三路１６９號８樓,35.01,住,,,1121109,土地1建物1車位2,八層，九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101110,233.67000000000002,4,2,2,有,無,18600000,79599,升降機械,38.54,0,預售屋、或土地及建物分件登記案件；,RPOOMLTJJIIGFAW86DA,128.4,0.0,9.65,有,
金湖鎮,房地(土地+建物),金門縣金湖鎮環島南路五段１６５巷６弄１８號,111.32,都市：其他:自然村專用區,,,1121117,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070514,253.92000000000002,5,2,5,有,無,13800000,54348,,0.0,0,,RPRNMLRLJIIGFAW07DA,174.75,0.0,4.9,無,
金湖鎮,土地,太湖劃測段1585地號,1013.1,農,,,1121120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,2665,,0.0,0,,RPPNMLRLJIIGFAW96EA,0.0,0.0,0.0,無,011
金城鎮,土地,后豐港段13地號,439.55,都市：其他:自然村專用區,,,1121106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5714150,13000,,0.0,0,,RPQNMLOLJIIGFAW66DA,0.0,0.0,0.0,無,
金城鎮,土地,后豐港段17-2地號,409.79,都市：其他:自然村專用區,,,1121106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5327270,13000,,0.0,0,,RPRNMLOLJIIGFAW76DA,0.0,0.0,0.0,無,
金沙鎮,土地,官嶼劃段371地號,820.0,農,,,1121122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4600000,5610,,0.0,0,,RPWNMLNLJIIGFAW17DA,0.0,0.0,0.0,無,012
金沙鎮,土地,沙碧劃段325地號,399.0,農,,,1121104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,850000,2130,,0.0,0,,RPPNMLOLJIIGFAW56DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉中堡３之３號二樓,36.69,都市：其他:自然村專用區,,,1121109,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1120724,76.15,3,2,2,有,無,5000000,65660,,0.0,0,,RPPNMLSLJIIGFAW96DA,58.95,0.0,6.91,無,
金湖鎮,土地,漁村段869地號,320.05,都市：其他:風景區,,,1121113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,2187,,0.0,0,,RPPNMLKMJIIGFAW88DA,0.0,0.0,0.0,無,
金沙鎮,土地,洋山段1017地號,61.31,都市：其他:自然村專用區,,,1121127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2440000,39798,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKMJIIGFAW09DA,0.0,0.0,0.0,無,
金寧鄉,土地,煙墩段426地號,406.98,都市：其他:保護區,,,1121113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,1720,,0.0,0,,RPSNMLOKJIIGFAW76DA,0.0,0.0,0.0,無,
金城鎮,土地,東沙段628地號,731.39,都市：其他:國家公園區,,,1121124,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,1504,,0.0,0,,RPQNMLOJKIIGFAW56DA,0.0,0.0,0.0,無,013
金沙鎮,房地(土地+建物),金門縣金沙鎮新前墩４３號２樓之３,17.39,都市：其他:農業區,,,1121120,土地2建物1車位0,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060313,33.37,1,1,1,有,無,1600000,47947,,0.0,0,沙東劃段76建號預售屋、或土地及建物分件登記案件；,RPWNMLOLJIIGFAW27DA,24.47,0.0,1.93,有,
金沙鎮,房地(土地+建物),金門縣金沙鎮新前墩４３號３樓之３,17.39,都市：其他:農業區,,,1121120,土地2建物1車位0,三層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060313,33.37,1,1,1,有,無,1600000,47947,,0.0,0,沙東劃段83建號預售屋、或土地及建物分件登記案件；,SPWNMLOLJIIGFAW37DA,24.47,0.0,1.93,有,
金湖鎮,土地,北五劃段445地號,672.78,都市：其他:國家公園區,,,1121123,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5150000,7655,,0.0,0,包含公共設施保留地用地；,RPTNMLTLJIIGFAW47DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮林兜３６３號,100.55,都市：其他:自然村專用區,,,1121109,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327,185.26,5,2,4,有,無,14000000,75569,,0.0,0,,RPPNMLLJKIIGFAW78DA,173.45,0.0,11.81,無,014
