鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.43,其他,,,1120820,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.46,3,2,2,有,無,6600000,69871,,0.0,0,,RPPNMLLLQHIGFAW86CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C12F棟16號,
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1120814,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,105.67,3,2,2,有,無,8300000,78546,,0.0,0,,RPPNMLPLQHIGFAW27CB,湖峰華居集合住宅新建工程,A1幢B1棟4A號,
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1120815,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,103.96,3,2,2,有,無,8690000,83590,,0.0,0,,RPQNMLPLQHIGFAW37CB,湖峰華居集合住宅新建工程,A1幢B1棟1A號,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.82,其他,,,1120917,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.49,3,2,2,有,無,6180000,68295,,0.0,0,,RPPNMLSKRHIGFAW57CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C42F棟17號,
金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,33.61,住,,,1120825,土地2建物1車位0,三層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,80.87,2,2,2,有,無,5080000,62817,,0.0,0,,RPRNMLMLRHIGFAW27CB,酒鄉,A1B1棟C3號,
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,39.64,其他,,,1120903,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.08,3,2,2,有,無,7240000,77783,其他,0.0,400000,車位為法定空地車位,RPPNMLPLRHIGFAW47DB,晴山馥居,C4號,
金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,45.17,住,,,1120921,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.66,3,2,2,有,無,6250000,57519,,0.0,0,,RPPNMLMJIIIGFAW68CB,酒鄉,A1B1棟C2號,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,35.58,其他,,,1121013,土地3建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.45,3,2,2,有,無,6550000,74900,,0.0,0,,RPPNMLNKIIIGFAW88CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C31F棟18號,
金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,33.61,住,,,1121009,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.87,2,2,2,有,無,5350000,66156,,0.0,0,,RPPNMLKLIIIGFAW68CB,酒鄉,A1B1棟C3號,
