鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
湖西鄉,土地,湖東新段590地號,873.0,,一般農業區,農牧用地,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1030000,1180,,0.0,0,,RPRNMLRJJIIGFAX96DA,0.0,0.0,0.0,無,001
馬公市,土地,葉新段315地號,6.63,,一般農業區,農牧用地,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,40000,6033,,0.0,0,,RPSNMLSJJIIGFAX27EA,0.0,0.0,0.0,無,
湖西鄉,土地,葉新段502地號,92.22,,鄉村區,乙種建築用地,1121103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,2711,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLNJJIIGFAX17DA,0.0,0.0,0.0,無,
湖西鄉,土地,紅羅段868地號,168.96,,一般農業區,農牧用地,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,3551,,0.0,0,,RPPNMLSJJIIGFAX86DA,0.0,0.0,0.0,無,
馬公市,土地,五福段128地號,178.87,,一般農業區,農牧用地,1121106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13030000,72846,,0.0,0,土地交易案件之價格含未來興建房屋成本；,RPPNMLKKJIIGFAX78DA,0.0,0.0,0.0,無,002
馬公市,土地,馬公段2512-6地號,3.0,商,,,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,770250,256750,,0.0,0,政府機關標讓售；,RPRNMLQKJIIGFAX07EA,0.0,0.0,0.0,無,
馬公市,土地,文石段746地號,242.21,,一般農業區,農牧用地,1121110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17480000,72169,,0.0,0,權利人共1人含未來房屋價金土地交易案件之價格含未來興建房屋成本；,RPRNMLKLJIIGFAX09DA,0.0,0.0,0.0,無,003
馬公市,土地,文石段746地號,225.45,,一般農業區,農牧用地,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12580000,55800,,0.0,0,權利人共1人含未來房屋價金土地交易案件之價格含未來興建房屋成本；,SPRNMLKLJIIGFAX56DA,0.0,0.0,0.0,無,003
西嶼鄉,土地,二崁北段611地號,371.04,,一般農業區,農牧用地,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,625000,1684,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKJIIGFAX98DA,0.0,0.0,0.0,無,005
馬公市,房地(土地+建物),澎湖縣馬公市惠民二村３１號,43.83,住,,,1121106,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強空心磚造,0590910,65.39,3,2,1,有,無,4030000,61630,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRKJIIGFAX07DA,65.39,0.0,0.0,無,
馬公市,土地,馬公段2512-21地號,4.0,商,,,1121110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1027000,256750,,0.0,0,政府機關標讓售；,RPSNMLKLJIIGFAX66EA,0.0,0.0,0.0,無,
白沙鄉,土地,通梁南段1379地號,146.65,商,,,1121109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4380000,29867,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLPKJIIGFAX17DA,0.0,0.0,0.0,無,
白沙鄉,土地,通梁中段1180地號,17.26,都市：其他:道路用地,,,1121101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,170000,9849,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPUNMLRKJIIGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,風櫃西段1026-1地號,231.4,,鄉村區,乙種建築用地,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1880000,8124,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLJIIGFAX66DA,0.0,0.0,0.0,無,
七美鄉,土地,七美一段639地號,119.67,,一般農業區,農牧用地,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,836,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLJIIGFAX66EA,0.0,0.0,0.0,無,006
