編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLRKJIIGFAX07DA,53,65.39,住家用,鋼筋混凝土加強空心磚造,59年9月10日,二層,一層 二層,全筆移轉
RPPNMLKMJIIGFAX09EA,44,82.12,住家用,鋼筋混凝土加強磚造,68年7月28日,二層,一層 二層 電梯樓梯間,全筆移轉
SPRNMLOJKIIGFAX86DA,51,50.76,住商用,鋼筋混凝土加強空心磚造,61年10月15日,四層,一層 二層 三層 四層,全筆移轉
RPRNMLSKIIIGFAX17EA,51,58.13,住家用,鋼筋混凝土加強空心磚造,61年8月28日,二層,一層 二層,全筆移轉
RPPNMLLKIIIGFAX78DA,26,212.03,住家用,鋼筋混凝土造,87年3月27日,五層,一層 二層 三層 四層 五層 見其他登記事項,全筆移轉
RPTNMLTJJIIGFAX37DA,37,81.13,住家用,鋼筋混凝土加強磚造,76年1月6日,三層,一層 二層 三層,持分移轉
RPTNMLQKIIIGFAX07DA,36,105.56,住家用,鋼筋混凝土造,76年11月14日,四層,四層,全筆移轉
RPTNMLQKIIIGFAX07DA,36,19.36,見其他登記事項,鋼筋混凝土造,76年11月14日,四層,,持分移轉
RPWNMLPLIIIGFAX37DA,28,51.36,住家用,鋼筋混凝土造,85年2月15日,十層,二層 見其他登記事項,全筆移轉
RPWNMLPLIIIGFAX37DA,28,6.63,住家用,鋼筋混凝土造,85年2月15日,十層,,持分移轉
RPWNMLPLIIIGFAX37DA,28,22.56,避難室、停車空間,鋼筋混凝土造,85年2月15日,十層,,持分移轉
RPROMLLMIIIGFAX66DA,40,182.77,住家用,鋼筋混凝土造,73年4月9日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPRNMLNJJIIGFAX66EA,,21.91,住家用,造,,一層,一層,持分移轉
RPQNMLQJIIIGFAX66DA,,254.93,住家用,鋼筋混凝土造,112年8月25日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQNMLMJIIIGFAX88DA,1,253.91,住家用,鋼筋混凝土造,112年3月7日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項,全筆移轉
RPUNMLRLIIIGFAX37DA,25,61.43,機械房、電樓梯間、避難室,鋼筋混凝土造,87年9月25日,七層,,持分移轉
RPUNMLRLIIIGFAX37DA,25,142.00,住家用,鋼筋混凝土造,87年9月25日,七層,三層 陽台,全筆移轉
RPPNMLTJJIIGFAX96DA,31,109.85,住家用,鋼筋混凝土造,82年4月2日,六層,四層,全筆移轉
RPPNMLTJJIIGFAX96DA,31,42.22,電樓梯間,鋼筋混凝土造,82年4月2日,六層,,持分移轉
RPRNMLNKJIIGFAX66DA,17,298.76,住商用,鋼筋混凝土造,95年5月25日,四層,一層 二層 三層 四層 電梯樓梯間,全筆移轉
RPSNMLNJJIIGFAX66DA,30,66.86,住家用,鋼筋混凝土加強磚造,83年2月9日,一層,一層,全筆移轉
RPUNMLKLJIIGFAX76DA,59,93.00,住商用,補強石造,53年10月28日,三層,一層 二層 三層,全筆移轉
RPPNMLLLJIIGFAX98DA,67,103.34,住商用,造,45年6月1日,二層,一層 二層,全筆移轉
RPSNMLRLJIIGFAX37EA,,54.55,住家用,造,,一層,一層,持分移轉
RPSNMLRJJIIGFAX07DA,16,275.24,住家用,鋼筋混凝土造,97年2月20日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLOLJIIGFAX76DA,43,72.75,住家用,鋼筋混凝土加強磚造,69年11月2日,一層,一層,全筆移轉
RPVNMLSLJIIGFAX67DA,,157.84,住家用,加強磚造,112年7月7日,二層,一層 二層 見其他登記事項,全筆移轉
RPSNMLMLJIIGFAX76DA,35,268.25,住商用,鋼筋混凝土造,77年7月15日,四層,一層 二層 三層 四層 騎樓 地下層,全筆移轉
RPQNMLTLJIIGFAX27DA,36,127.88,住家用,加強磚造,77年2月11日,二層,一層 二層,全筆移轉
RPSNMLTLJIIGFAX47DA,,164.96,住家用,鋼筋混凝土造,112年9月6日,二層,一層 二層 見其他登記事項,全筆移轉
RPVNMLNJIIIGFAX86DA,17,196.07,住家用,鋼筋混凝土造,95年11月14日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLSKRHIGFAX77DA,44,120.82,住家用,鋼筋混凝土加強磚造,69年1月7日,三層,一層 二層 三層,全筆移轉
RPUNMLQKIIIGFAX17DA,27,156.11,住商用,鋼筋混凝土造,85年10月18日,三層,一層 二層 三層 水箱 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLRKIIIGFAX76DA,33,149.56,住家用,鋼筋混凝土造,79年5月11日,三層,一層 二層 三層,全筆移轉
RPQNMLKLIIIGFAX88DA,22,153.38,住家用,鋼筋混凝土造,90年6月6日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPTNMLTKIIIGFAX37DA,29,6.29,避難室,鋼筋混凝土造,84年1月28日,七層,,持分移轉
RPTNMLTKIIIGFAX37DA,29,9.08,電樓梯間,鋼筋混凝土造,84年1月28日,七層,,持分移轉
RPTNMLTKIIIGFAX37DA,29,86.30,住家用,鋼筋混凝土造,84年1月28日,七層,五層 見其他登記事項,全筆移轉
RPUNMLPLIIIGFAX17DA,1,56.47,集合住宅,鋼筋混凝土造,112年3月8日,五層,三層 見其他登記事項,全筆移轉
RPUNMLPLIIIGFAX17DA,1,18.53,共用部份,鋼筋混凝土造,112年3月8日,五層,,持分移轉
RPQNMLPLIIIGFAX76DA,2,80.48,集合住宅,鋼筋混凝土造,110年10月22日,五層,五層 見其他登記事項 見其他登記事項,全筆移轉
RPQNMLPLIIIGFAX76DA,2,45.09,共用部份,鋼筋混凝土造,110年10月22日,五層,,持分移轉
RPQNMLMLRHIGFAX27DA,28,23.63,停車庫兼避難室,鋼筋混凝土造,84年12月8日,七層,,持分移轉
RPQNMLMLRHIGFAX27DA,28,96.96,住家用,鋼筋混凝土造,84年12月8日,七層,二層 陽台,全筆移轉
RPRNMLQJIIIGFAX76DA,36,157.16,住家用,鋼筋混凝土加強磚造,76年12月3日,二層,一層 二層,全筆移轉
RPSOMLLMIIIGFAX76DA,33,82.40,住家用,鋼筋混凝土加強磚造,79年12月1日,二層,一層 二層,全筆移轉
RPUNMLLMIIIGFAX86DA,41,82.40,住家用,鋼筋混凝土造,72年1月18日,二層,一層 二層,全筆移轉
RPTNMLMJJIIGFAX66DA,11,150.65,住家用,加強磚造,101年11月14日,二層,一層 二層,全筆移轉
RPPNMLQKIIIGFAX66DA,1,506.25,住家用,鋼筋混凝土造,111年11月22日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPPNMLQLIIIGFAX76DA,41,102.68,住家用,鋼筋混凝土造,72年1月18日,三層,一層 二層 三層,全筆移轉
RPSNMLQLRHIGFAX87DA,6,193.04,住家用,加強磚造,106年9月27日,二層,一層 二層 見其他登記事項 見其他登記事項,全筆移轉
RPRNMLSJJIIGFAX07DA,47,392.28,醫院住宅,鋼筋混凝土造,65年10月28日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPRNMLPKJIIGFAX86DA,17,106.29,集合住宅,鋼筋混凝土造,95年7月10日,十四層,九層 陽台,全筆移轉
RPRNMLPKJIIGFAX86DA,17,67.26,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPSNMLRKJIIGFAX17DA,5,248.95,住家用,鋼筋混凝土造,107年7月9日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPTNMLKMJIIGFAX76DA,6,79.55,集合住宅,鋼筋混凝土造,106年3月28日,十層,九層 見其他登記事項,全筆移轉
RPTNMLKMJIIGFAX76DA,6,54.68,共同使用,鋼筋混凝土造,106年3月28日,十層,,持分移轉
RPQNMLLJRHIGFAX96DA,39,224.45,住商用,鋼筋混凝土造,73年5月31日,五層,一層 二層 三層 四層 五層 騎樓 地下層,全筆移轉
RPWNMLQJRHIGFAX08DA,32,188.80,特產加工場員工宿舍（工業區）,鋼筋混凝土造,81年1月17日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPOOMLNKRHIGFAX17DA,2,80.48,集合住宅,鋼筋混凝土造,110年10月22日,五層,五層 見其他登記事項 見其他登記事項,全筆移轉
RPOOMLNKRHIGFAX17DA,2,45.09,共用部份,鋼筋混凝土造,110年10月22日,五層,,持分移轉
RPQNMLMKRHIGFAX17DA,2,60.05,集合住宅,鋼筋混凝土造,110年12月7日,五層,二層 見其他登記事項,全筆移轉
RPQNMLMKRHIGFAX17DA,2,22.40,共用部份,鋼筋混凝土造,110年12月7日,五層,,持分移轉
RPRNMLMKRHIGFAX27DA,,4.98,住家用,造,8年0月0日,一層,一層,持分移轉
RPPNMLSJRHIGFAX57DA,35,130.38,住家用,鋼筋混凝土加強磚造,77年12月17日,二層,一層 二層 電梯樓梯間,全筆移轉
RPQNMLRJRHIGFAX57DA,,73.08,集合住宅,鋼筋混凝土造,112年3月8日,五層,一層,全筆移轉
RPQNMLRJRHIGFAX57DA,,23.61,共用部份,鋼筋混凝土造,112年3月8日,五層,,持分移轉
RPQNMLOKRHIGFAX37DA,22,220.97,住宅、停車場,鋼筋混凝土造,90年7月24日,五層,一層 二層 三層 四層 五層 水箱 停車場 見其他登記事項,全筆移轉
RPRNMLPKRHIGFAX57DA,14,133.30,倉庫,鋼骨造,98年11月24日,一層,一層,全筆移轉
RPWNMLSKRHIGFAX38DA,,60.82,集合住宅,鋼筋混凝土造,112年6月6日,五層,二層 見其他登記事項,全筆移轉
RPWNMLSKRHIGFAX38DA,,18.71,共用使用部分,鋼筋混凝土造,112年6月6日,五層,,持分移轉
RPTNMLPKRHIGFAX77DA,3,72.56,集合住宅,鋼筋混凝土造,109年5月5日,五層,四層 見其他登記事項,全筆移轉
RPTNMLPKRHIGFAX77DA,3,23.46,共用部份,鋼筋混凝土造,109年5月5日,五層,,持分移轉
RPQNMLKLRHIGFAX07DA,6,66.13,集合住宅,鋼筋混凝土造,106年3月28日,十層,十層 見其他登記事項,全筆移轉
RPQNMLKLRHIGFAX07DA,6,51.00,共同使用,鋼筋混凝土造,106年3月28日,十層,,持分移轉
RPXOMLSKRHIGFAX58DA,,60.82,集合住宅,鋼筋混凝土造,112年6月6日,五層,五層 見其他登記事項,全筆移轉
RPXOMLSKRHIGFAX58DA,,18.71,共用使用部分,鋼筋混凝土造,112年6月6日,五層,,持分移轉
RPRNMLTKRHIGFAX97DA,,64.54,集合住宅,鋼筋混凝土造,112年6月6日,五層,二層 見其他登記事項,全筆移轉
RPRNMLTKRHIGFAX97DA,,42.22,共用使用部分,鋼筋混凝土造,112年6月6日,五層,,持分移轉
RPRNMLQLRHIGFAX77DA,6,386.33,住宅、樓梯間,鋼筋混凝土造,106年4月28日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項,全筆移轉
RPRNMLQLRHIGFAX77DA,6,55.68,店舖、停車格,鋼筋混凝土造,106年4月28日,四層,一層,全筆移轉
RPPNMLMLRHIGFAX17DA,36,128.96,住家用,鋼筋混凝土加強磚造,76年10月20日,二層,一層 二層 電梯樓梯間 夾層,全筆移轉
RPOOMLQLRHIGFAX57DA,26,187.32,住家用,鋼筋混凝土造,86年8月13日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLKLRHIGFAX96DA,17,114.38,集合住宅,鋼筋混凝土造,95年7月10日,十四層,十四層 陽台,全筆移轉
RPPNMLKLRHIGFAX96DA,17,72.35,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPRNMLMJIIIGFAX98DA,27,194.13,住家用,鋼筋混凝土造,85年3月14日,四層,一層 二層 三層 四層 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLSLRHIGFAX77DA,28,500.78,健身、理容,鋼筋混凝土造,84年8月18日,十層,十層 陽台,全筆移轉
RPPNMLSLRHIGFAX77DA,28,81.01,商場餐廳旅館健身理容停車場避難室,鋼筋混凝土造,84年8月18日,十層,,持分移轉
