編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLSJJIIGFAX27EA,菓葉新段,6.63,非都市：一般農業區 ; 非都市編定：農牧用地,100,5,持分移轉,03150000
RPXNMLNJJIIGFAX17DA,菓葉新段,92.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,05020000
RPRNMLQKJIIGFAX07EA,馬公段,3.00,都市：其他:商業區,1,1,全筆移轉,25120006
RPRNMLRJJIIGFAX96DA,湖東新段,873.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05900000
RPRNMLKLJIIGFAX09DA,文石段,242.21,非都市：一般農業區 ; 非都市編定：農牧用地,1000,347,持分移轉,07460000
SPRNMLKLJIIGFAX56DA,文石段,225.45,非都市：一般農業區 ; 非都市編定：農牧用地,1000,323,持分移轉,07460000
RPRNMLRKJIIGFAX07DA,春暉段,43.83,都市：其他:住宅區,1,1,全筆移轉,02400000
RPSNMLKLJIIGFAX66EA,馬公段,4.00,都市：其他:商業區,1,1,全筆移轉,25120021
RPUNMLRKJIIGFAX37DA,通梁中段,2.97,都市：其他:道路用地,20,1,持分移轉,11790000
RPUNMLRKJIIGFAX37DA,通梁中段,14.08,都市：其他:住宅區,10,1,持分移轉,11800000
RPUNMLRKJIIGFAX37DA,通梁中段,.21,都市：其他:道路用地,20,1,持分移轉,11800001
RPPNMLOLJIIGFAX66DA,風櫃西段,231.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10260001
RPPNMLNLJIIGFAX66EA,七美一段,119.67,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,06390000
RPUNMLPKJIIGFAX17DA,通梁南段,146.65,都市：其他:商業區,1,1,全筆移轉,13790000
RPUNMLMLJIIGFAX96DA,五福段,221.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05310000
