鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
馬公市,租賃房屋,澎湖縣馬公市民權路８５號,38.0,商,,,1120823,土地3建物1車位0,全,3,透天厝,住商用,混凝土造,,35.7,4,1,2,有,無,無,18000,504,,0.0,0,,RPPNMLPKRHIGFAX57DC,,無,1121022~1131021,無,,
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120628,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,0,有,無,有,4500,281,,0.0,0,,RPPNMLPKIIIGFAX66CC,獨立套房,無,1120629~1130129,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120826,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,0,有,無,有,4500,281,,0.0,0,,RPQNMLPKIIIGFAX76CC,獨立套房,無,1120826~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120826,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,6500,406,,0.0,0,,RPRNMLPKIIIGFAX86CC,獨立套房,無,1120826~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120828,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,5400,338,,0.0,0,,RPSNMLPKIIIGFAX96CC,獨立套房,無,1120828~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120626,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,5400,338,,0.0,0,,RPTNMLPKIIIGFAX07CC,獨立套房,無,1120626~1121226,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120628,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,20.0,1,0,1,有,無,有,7000,350,,0.0,0,,RPUNMLPKIIIGFAX17CC,獨立套房,無,1120630~1130130,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120620,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,5400,338,,0.0,0,,RPVNMLPKIIIGFAX27CC,獨立套房,無,1120620~1121220,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120330,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,5400,338,,0.0,0,,RPWNMLPKIIIGFAX37CC,獨立套房,無,1120401~1121030,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120722,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,5600,350,,0.0,0,,RPXNMLPKIIIGFAX47CC,獨立套房,無,1120722~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120615,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,6800,425,,0.0,0,,RPOOMLPKIIIGFAX66CC,獨立套房,無,1120615~1130614,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120829,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,6000,375,,0.0,0,,RPPOMLPKIIIGFAX76CC,獨立套房,無,1120829~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120910,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,4800,300,,0.0,0,,RPQOMLPKIIIGFAX86CC,獨立套房,無,1120910~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,133.83,,一般農業區,甲種建築用地,1120826,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,1,0,1,有,無,有,6200,388,,0.0,0,,RPROMLPKIIIGFAX96CC,獨立套房,無,1120826~1130731,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市前寮里２５７號,0.0,,,,1121001,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0991105,30.0,5,1,6,有,無,有,7800,260,,0.0,0,租金總額含水費；瓦斯費；網路費；含增建或未登記建物；,RPPNMLQLIIIGFAX96DC,分租套房,無,1121001~1140930,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市光華里８０號２樓之１,0.0,,,,1121011,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1080327,38.0,10,0,10,有,無,有,10000,263,,0.0,0,租金總額含水費；電費；瓦斯費；網路費；續租案件；,RPQNMLQLIIIGFAX07DC,分租套房,無,1121105~1130404,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
