編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPKRHIGFAX57DC,,35.70,住商用,混凝土造,,二層,,
RPVNMLPKIIIGFAX27CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPQNMLPKIIIGFAX76CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPNMLPKIIIGFAX66CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPSNMLPKIIIGFAX96CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPRNMLPKIIIGFAX86CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPXNMLPKIIIGFAX47CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPUNMLPKIIIGFAX17CC,12,20.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPOOMLPKIIIGFAX66CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPWNMLPKIIIGFAX37CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPTNMLPKIIIGFAX07CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPPOMLPKIIIGFAX76CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPQOMLPKIIIGFAX86CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
RPQNMLQLIIIGFAX07DC,5,38.00,住家用,鋼筋混凝土造,108年3月27日,三層,,
RPPNMLQLIIIGFAX96DC,13,30.00,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPROMLPKIIIGFAX96CC,12,16.00,住家用,鋼筋混凝土造,100年6月1日,三層,,
