編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKRHIGFAX57DC,馬公段,13.00,都市：商,,,,09460000
RPPNMLPKRHIGFAX57DC,馬公段,12.00,都市：商,,,,09470000
RPPNMLPKRHIGFAX57DC,馬公段,13.00,都市：商,,,,09480000
RPQNMLPKIIIGFAX76CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPPNMLPKIIIGFAX66CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPVNMLPKIIIGFAX27CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPSNMLPKIIIGFAX96CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPRNMLPKIIIGFAX86CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPXNMLPKIIIGFAX47CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPUNMLPKIIIGFAX17CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPOOMLPKIIIGFAX66CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPWNMLPKIIIGFAX37CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPTNMLPKIIIGFAX07CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPPOMLPKIIIGFAX76CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPQOMLPKIIIGFAX86CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
RPROMLPKIIIGFAX96CC,四維段,133.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04850003
