鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北竿鄉,土地,午沙段210-1地號,5.75,,,,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2973,517,,0.0,0,,RPPNMLLJJIIGFAZ98DA,0.0,0.0,0.0,無,
莒光鄉,土地,福正段245地號,53.96,,,,1121117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,320000,5930,,0.0,0,,RPPNMLRKJIIGFAZ07DA,0.0,0.0,0.0,無,
南竿鄉,土地,仁愛段849-51地號,3.92,,,,1121120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000,510,,0.0,0,,RPPNMLKLJIIGFAZ09DA,0.0,0.0,0.0,無,
南竿鄉,土地,清水段169-1地號,0.65,,,,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000,0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPQNMLRKJIIGFAZ17DA,0.0,0.0,0.0,無,01
北竿鄉,土地,白沙段95地號,74.17,,,,1121127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,21572,,0.0,0,,RPPNMLRLJIIGFAZ17DA,0.0,0.0,0.0,無,
北竿鄉,土地,白沙段124地號,100.76,,,,1121025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,9925,,0.0,0,,RPPNMLQLIIIGFAZ96DA,0.0,0.0,0.0,無,
南竿鄉,土地,清水段169地號,39.68,,,,1121007,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,677213,17067,,0.0,0,,RPPNMLKMIIIGFAZ09DA,0.0,0.0,0.0,無,01
北竿鄉,土地,塘岐段219地號,83.03,,,,1120914,土地1建物0車位0,,,其他,,,,0.0,2,1,1,有,無,1800000,21679,,0.0,0,,RPPNMLOKRHIGFAZ47DA,0.0,0.0,0.0,無,03
南竿鄉,土地,福沃段651地號,64.16,,,,1120919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,7793,,0.0,0,,RPPNMLTKRHIGFAZ97DA,0.0,0.0,0.0,無,
南竿鄉,土地,珠螺段129-2地號,13.96,,,,1120905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,33364,2390,,0.0,0,政府機關標讓售；,RPPNMLQJRHIGFAZ57DA,0.0,0.0,0.0,無,
南竿鄉,土地,仁愛段500地號,17.57,,,,1120928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60000,3415,,0.0,0,,RPPNMLSLRHIGFAZ97DA,0.0,0.0,0.0,無,
北竿鄉,土地,塘岐段855-6地號,4.56,,,,1120906,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,153489,33660,,0.0,0,政府機關標讓售；,RPPNMLSJRHIGFAZ77DA,0.0,0.0,0.0,無,
南竿鄉,房地(土地+建物),連江縣南竿鄉連江縣南竿鄉清水村８鄰１２８之５號,26.33,,,,1120730,土地1建物2車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081218,219.49,2,2,2,有,無,9000000,41004,,0.0,0,,RPPNMLSKRHIGFAZ87DA,55.93,0.0,0.0,有,
